Staff,WeekNumber,WeekStartDate,Total_Hours
AEZ,36,2024-09-02,12.45
AEZ,37,2024-09-09,10.6
AEZ,38,2024-09-16,8.799999999999999
AEZ,39,2024-09-23,5.499999999999998
AEZ,40,2024-09-30,2.0
AEZ,41,2024-10-07,19.0
AEZ,42,2024-10-14,20.70000000000001
AEZ,43,2024-10-21,7.000000000000001
AEZ,44,2024-10-28,0.8
AEZ,46,2024-11-11,9.9
AEZ,47,2024-11-18,17.7
AEZ,48,2024-11-25,1.5000000000000002
AEZ,49,2024-12-02,0.7000000000000001
AEZ,50,2024-12-09,7.299999999999999
AEZ,51,2024-12-16,2.1
AEZ,52,2024-12-23,5.0
ASW,46,2024-11-11,9.3
ASW,47,2024-11-18,1.8
ASW,48,2024-11-25,9.200000000000001
ASW,49,2024-12-02,2.9000000000000004
BPL,37,2024-09-09,15.399999999999999
BPL,38,2024-09-16,26.500000000000007
BPL,39,2024-09-23,5.5
BPL,40,2024-09-30,8.600000000000001
BPL,41,2024-10-07,7.1000000000000005
BPL,42,2024-10-14,0.6000000000000001
BPL,43,2024-10-21,0.9
BPL,44,2024-10-28,20.400000000000002
BPL,45,2024-11-04,12.899999999999999
BPL,46,2024-11-11,2.1
BPL,47,2024-11-18,14.0
BPL,48,2024-11-25,0.3
BPL,49,2024-12-02,10.4
BPL,50,2024-12-09,5.8999999999999995
BPL,51,2024-12-16,18.5
BPL,52,2024-12-23,1.3
CAJ,36,2024-09-02,36.5
CAJ,37,2024-09-09,2.5
CAJ,38,2024-09-16,5.2
CAJ,39,2024-09-23,15.5
CAJ,40,2024-09-30,18.099999999999998
CAJ,41,2024-10-07,0.2
CAJ,42,2024-10-14,4.1
CAJ,43,2024-10-21,33.0
CAJ,45,2024-11-04,35.50000000000001
CAJ,46,2024-11-11,1.3
CAJ,47,2024-11-18,4.3
CAJ,48,2024-11-25,25.3
CAJ,49,2024-12-02,24.7
CAJ,50,2024-12-09,52.49999999999999
CAJ,51,2024-12-16,8.299999999999999
CAJ,52,2024-12-23,3.6
CAJ,53,2024-12-30,2.7
DAC,47,2024-11-18,8.0
ERH,36,2024-09-02,8.1
ERH,37,2024-09-09,13.799999999999999
ERH,38,2024-09-16,10.6
ERH,39,2024-09-23,6.6000000000000005
ERH,40,2024-09-30,2.3
ERH,41,2024-10-07,17.2
ERH,42,2024-10-14,9.0
ERH,43,2024-10-21,10.7
ERH,45,2024-11-04,13.9
ERH,46,2024-11-11,2.7
ERH,47,2024-11-18,9.0
ERH,48,2024-11-25,3.7
ERH,49,2024-12-02,10.3
ERH,50,2024-12-09,20.799999999999997
ERH,51,2024-12-16,2.4
ERH,53,2024-12-30,21.299999999999997
GNS,42,2024-10-14,0.5
GNS,53,2024-12-30,0.6
JER,36,2024-09-02,12.5
JER,37,2024-09-09,0.5
JER,38,2024-09-16,2.1
JER,39,2024-09-23,21.5
JER,41,2024-10-07,38.699999999999996
JER,42,2024-10-14,2.4
JER,43,2024-10-21,11.7
JER,45,2024-11-04,11.6
JER,46,2024-11-11,5.7
JER,47,2024-11-18,48.599999999999994
JER,48,2024-11-25,2.7
JER,49,2024-12-02,2.0
JER,50,2024-12-09,1.2
JER,51,2024-12-16,18.2
JER,52,2024-12-23,1.3
JER,53,2024-12-30,0.2
JLH,47,2024-11-18,4.1
JRJ,36,2024-09-02,62.99999999999999
JRJ,37,2024-09-09,21.3
JRJ,38,2024-09-16,26.799999999999997
JRJ,39,2024-09-23,6.8
JRJ,40,2024-09-30,92.49999999999999
JRJ,41,2024-10-07,30.4
JRJ,42,2024-10-14,4.3
JRJ,43,2024-10-21,34.60000000000001
JRJ,44,2024-10-28,1.4
JRJ,45,2024-11-04,38.5
JRJ,46,2024-11-11,0.4
JRJ,47,2024-11-18,23.200000000000003
JRJ,48,2024-11-25,54.8
JRJ,49,2024-12-02,152.4
JRJ,50,2024-12-09,211.60000000000002
JRJ,51,2024-12-16,110.80000000000007
RAW,36,2024-09-02,7.2
RAW,37,2024-09-09,19.7
RAW,38,2024-09-16,17.200000000000003
RAW,39,2024-09-23,15.600000000000001
RAW,40,2024-09-30,1.7999999999999998
RAW,41,2024-10-07,21.200000000000006
RAW,42,2024-10-14,12.2
RAW,43,2024-10-21,21.600000000000005
RAW,45,2024-11-04,13.3
RAW,46,2024-11-11,11.6
RAW,47,2024-11-18,53.29999999999999
RAW,48,2024-11-25,9.3
RAW,49,2024-12-02,6.0
RAW,50,2024-12-09,30.8
RAW,51,2024-12-16,21.100000000000005
RAW,52,2024-12-23,0.6
RAW,53,2024-12-30,67.59999999999998
TGF,36,2024-09-02,1.0
TGF,37,2024-09-09,15.05
TGF,38,2024-09-16,2.0
TGF,39,2024-09-23,2.0
TGF,40,2024-09-30,3.5
TGF,41,2024-10-07,19.8
TGF,42,2024-10-14,16.55
TGF,43,2024-10-21,13.85
TGF,45,2024-11-04,16.380000000000003
TGF,46,2024-11-11,10.7
TGF,47,2024-11-18,35.099999999999994
TGF,48,2024-11-25,6.3
TGF,49,2024-12-02,20.950000000000003
TGF,50,2024-12-09,24.62
TGF,51,2024-12-16,12.299999999999999
TGF,52,2024-12-23,3.0
TGF,53,2024-12-30,15.95
WMJ,37,2024-09-09,27.949999999999996
WMJ,38,2024-09-16,43.55
WMJ,39,2024-09-23,34.5
WMJ,40,2024-09-30,3.2
WMJ,41,2024-10-07,8.200000000000001
WMJ,42,2024-10-14,0.5
WMJ,43,2024-10-21,15.6
WMJ,44,2024-10-28,5.7
WMJ,45,2024-11-04,13.599999999999998
WMJ,46,2024-11-11,8.4
WMJ,47,2024-11-18,1.0
WMJ,48,2024-11-25,1.5
WMJ,49,2024-12-02,10.2
WMJ,50,2024-12-09,19.75
WMJ,51,2024-12-16,0.7
WMJ,52,2024-12-23,3.45
